Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.045;50;;60rounds;Yes;No;2;0.74057;0.80565;0.07266;0.18919;1.54622;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;0.8056488010774979;0.7405709152665276;0.8056488010774979;0.7405709152665276;0.8403167652544431;0.7291412514762143;0.0;0.0;0.8056488010774979;0.7405709152665276;party1_utility.xml;party2_utility.xml
0.049;52;;60rounds;Yes;No;2;0.73834;0.87827;0.00000;0.21198;1.61661;AgreeableAgent2018@2;BoulwareNegotiationParty@3;0.8782702075147549;0.7383398342796271;0.8782702075147549;0.7383398342796271;0.8928187446778585;0.6306630292615568;0.0;0.0;0.8782702075147549;0.7383398342796271;party1_utility.xml;party2_utility.xml
0.040;54;;60rounds;Yes;No;2;0.83567;0.84008;0.02069;0.10209;1.67576;Agent17XNoStop@4;BoulwareNegotiationParty@5;0.8356724822851631;0.8400841587031946;0.8356724822851631;0.8400841587031946;0.8601462107171385;0.6825459343043561;0.0;0.0;0.8356724822851631;0.8400841587031946;party1_utility.xml;party2_utility.xml
0.193;43;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17Submit@6;BoulwareNegotiationParty@7;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.44602094426951777;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.037;55;;60rounds;Yes;No;2;0.64011;0.83073;0.06779;0.29212;1.47084;Agent17PS3@8;BoulwareNegotiationParty@9;0.8307263969328976;0.640114022382207;0.8307263969328976;0.640114022382207;0.8049948160811491;0.5306138366606385;0.0;0.0;0.8307263969328976;0.640114022382207;party1_utility.xml;party2_utility.xml
0.037;54;;60rounds;Yes;No;2;0.55933;0.84319;0.13138;0.37386;1.40252;Agent17PS2@10;BoulwareNegotiationParty@11;0.8431855210435977;0.5593332538482656;0.8431855210435977;0.5593332538482656;0.8859663397261909;0.5671711870895599;0.0;0.0;0.8431855210435977;0.5593332538482656;party1_utility.xml;party2_utility.xml
0.034;53;;60rounds;Yes;No;2;0.73834;0.87827;0.00000;0.21198;1.61661;Agent17PS@12;BoulwareNegotiationParty@13;0.8782702075147549;0.7383398342796271;0.8782702075147549;0.7383398342796271;0.8928187446778585;0.6306630292615568;0.0;0.0;0.8782702075147549;0.7383398342796271;party1_utility.xml;party2_utility.xml
0.034;52;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu3@14;BoulwareNegotiationParty@15;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.035;54;;60rounds;Yes;No;2;0.75506;0.78084;0.12002;0.15073;1.53590;Agent17Mu2@16;BoulwareNegotiationParty@17;0.7550577364334331;0.780844336460649;0.7550577364334331;0.780844336460649;0.845722504306727;0.6336221985043351;0.0;0.0;0.7550577364334331;0.780844336460649;party1_utility.xml;party2_utility.xml
0.033;52;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu@18;BoulwareNegotiationParty@19;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.032;51;;60rounds;Yes;No;2;0.75705;0.81816;0.06295;0.17477;1.57521;Agent17X@20;BoulwareNegotiationParty@21;0.8181610410661978;0.7570470663045514;0.8181610410661978;0.7570470663045514;0.9511800175429733;0.6733478054975128;0.0;0.0;0.8181610410661978;0.7570470663045514;party1_utility.xml;party2_utility.xml
0.035;54;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;BoulwareNegotiationParty@22;AgreeableAgent2018@23;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.037;57;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;AgreeableAgent2018@24;AgreeableAgent2018@25;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.039;56;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17XNoStop@26;AgreeableAgent2018@27;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
