sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10;Agent 11;Agent 12;Agent 13;Agent 14;Agent 15;Utility 1;Utility 2;Utility 3;Utility 4;Utility 5;Utility 6;Utility 7;Utility 8;Utility 9;Utility 10;Utility 11;Utility 12;Utility 13;Utility 14;Utility 15;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Disc. Util. 5;Disc. Util. 6;Disc. Util. 7;Disc. Util. 8;Disc. Util. 9;Disc. Util. 10;Disc. Util. 11;Disc. Util. 12;Disc. Util. 13;Disc. Util. 14;Disc. Util. 15;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Perceived. Util. 5;Perceived. Util. 6;Perceived. Util. 7;Perceived. Util. 8;Perceived. Util. 9;Perceived. Util. 10;Perceived. Util. 11;Perceived. Util. 12;Perceived. Util. 13;Perceived. Util. 14;Perceived. Util. 15;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Bother 5;User Bother 6;User Bother 7;User Bother 8;User Bother 9;User Bother 10;User Bother 11;User Bother 12;User Bother 13;User Bother 14;User Bother 15;User Util. 1;User Util. 2;User Util. 3;User Util. 4;User Util. 5;User Util. 6;User Util. 7;User Util. 8;User Util. 9;User Util. 10;User Util. 11;User Util. 12;User Util. 13;User Util. 14;User Util. 15;Profile 1;Profile 2;Profile 3;Profile 4;Profile 5;Profile 6;Profile 7;Profile 8;Profile 9;Profile 10;Profile 11;Profile 12;Profile 13;Profile 14;Profile 15
1.698;60;;60rounds;Yes;No;15;0.27383;0.80685;0.21029;0.85052;8.64991;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;BoulwareNegotiationParty@4;BoulwareNegotiationParty@5;BoulwareNegotiationParty@6;BoulwareNegotiationParty@7;BoulwareNegotiationParty@8;BoulwareNegotiationParty@9;BoulwareNegotiationParty@10;BoulwareNegotiationParty@11;BoulwareNegotiationParty@12;BoulwareNegotiationParty@13;BoulwareNegotiationParty@14;0.7059564327601427;0.5969468135842497;0.5819369984419182;0.571428075;0.32186982210945325;0.2738257041587817;0.44123275164243037;0.8068495718581078;0.44123275164243037;0.5969240217867429;0.5969240217867429;0.5969240217867429;0.7059564327601427;0.7059448378998234;0.7059564327601427;0.7059564327601427;0.5969468135842497;0.5819369984419182;0.571428075;0.32186982210945325;0.2738257041587817;0.44123275164243037;0.8068495718581078;0.44123275164243037;0.5969240217867429;0.5969240217867429;0.5969240217867429;0.7059564327601427;0.7059448378998234;0.7059564327601427;0.7326251038992214;0.4322485208103561;0.5819369984419182;0.571428075;0.32186982210945325;0.2738257041587817;0.44123275164243037;0.8068495718581078;0.44123275164243037;0.37150954405267983;0.2874253148267304;0.289505657423271;0.6222222222222222;0.6377999640396335;0.7021852733252015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7059564327601427;0.5969468135842497;0.5819369984419182;0.571428075;0.32186982210945325;0.2738257041587817;0.44123275164243037;0.8068495718581078;0.44123275164243037;0.5969240217867429;0.5969240217867429;0.5969240217867429;0.7059564327601427;0.7059448378998234;0.7059564327601427;party2_utility.xml;party1_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml;party1_utility_u10.xml;party1_utility_u20.xml;party1_utility_u50.xml;party2_utility_u10.xml;party2_utility_u20.xml;party2_utility_u50.xml
;2;Session genius.core.session.Session@4c3ec5d2 failed: Failed to execute protocol: Execution failed of Agent17@15:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
1.391;60;;60rounds;Yes;No;15;0.31029;0.71429;0.27004;0.94669;8.50104;BoulwareNegotiationParty@30;Agent17@31;BoulwareNegotiationParty@32;BoulwareNegotiationParty@33;BoulwareNegotiationParty@34;BoulwareNegotiationParty@35;BoulwareNegotiationParty@36;BoulwareNegotiationParty@37;BoulwareNegotiationParty@38;BoulwareNegotiationParty@39;BoulwareNegotiationParty@40;BoulwareNegotiationParty@41;BoulwareNegotiationParty@42;BoulwareNegotiationParty@43;BoulwareNegotiationParty@44;0.44071605419158105;0.687046429047163;0.6381897866079184;0.7142850500000001;0.4300579990422278;0.3102940478333954;0.7088143580027727;0.4796562977398603;0.7088143580027727;0.6870084384872774;0.6870084384872774;0.6870084384872774;0.44071605419158105;0.4407084615329001;0.44071605419158105;0.44071605419158105;0.687046429047163;0.6381897866079184;0.7142850500000001;0.4300579990422278;0.3102940478333954;0.7088143580027727;0.4796562977398603;0.7088143580027727;0.6870084384872774;0.6870084384872774;0.6870084384872774;0.44071605419158105;0.4407084615329001;0.44071605419158105;0.3023059464224257;0.5515256754355768;0.6381897866079184;0.7142850500000001;0.4300579990422278;0.3102940478333954;0.7088143580027727;0.4796562977398603;0.7088143580027727;0.7768501954548466;0.4392586853658643;0.4845048676018421;0.5185185185185186;0.4592834048412561;0.32568365802174076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44071605419158105;0.687046429047163;0.6381897866079184;0.7142850500000001;0.4300579990422278;0.3102940478333954;0.7088143580027727;0.4796562977398603;0.7088143580027727;0.6870084384872774;0.6870084384872774;0.6870084384872774;0.44071605419158105;0.4407084615329001;0.44071605419158105;party2_utility.xml;party1_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml;party1_utility_u10.xml;party1_utility_u20.xml;party1_utility_u50.xml;party2_utility_u10.xml;party2_utility_u20.xml;party2_utility_u50.xml
;2;Session genius.core.session.Session@54ca068c failed: Failed to execute protocol: Execution failed of Agent17@45:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@7ec94dcf failed: Failed to execute protocol: Execution failed of Agent17@62:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@625b764c failed: Failed to execute protocol: Execution failed of Agent17@75:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@5be99b32 failed: Failed to execute protocol: Execution failed of Agent17@92:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@665c51c1 failed: Failed to execute protocol: Execution failed of Agent17@105:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@432be092 failed: Failed to execute protocol: Execution failed of Agent17@123:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
;2;Session genius.core.session.Session@484b166b failed: Failed to execute protocol: Execution failed of Agent17@135:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;party2_utility;party1_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility;party1_utility_u10;party1_utility_u20;party1_utility_u50;party2_utility_u10;party2_utility_u20;party2_utility_u50
