sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Utility 1;Utility 2;Utility 3;Utility 4;Utility 5;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Disc. Util. 5;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Perceived. Util. 5;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Bother 5;User Util. 1;User Util. 2;User Util. 3;User Util. 4;User Util. 5;Profile 1;Profile 2;Profile 3;Profile 4;Profile 5
0.164;58;;60rounds;Yes;No;5;0.41928;0.76438;0.06747;0.61791;2.87031;BoulwareNegotiationParty@64;BoulwareNegotiationParty@65;BoulwareNegotiationParty@66;BoulwareNegotiationParty@67;BoulwareNegotiationParty@68;0.41927860551984825;0.6805988750632862;0.452380575;0.7643819747172682;0.5536684454339376;0.41927860551984825;0.6805988750632862;0.452380575;0.7643819747172682;0.5536684454339376;0.34772344111864945;0.4944118553848851;0.452380575;0.7643819747172682;0.5536684454339376;0.0;0.0;0.0;0.0;0.0;0.41927860551984825;0.6805988750632862;0.452380575;0.7643819747172682;0.5536684454339376;party1_utility.xml;party2_utility.xml;party4_utility.xml;party3_utility.xml;party5_utility.xml
;2;Session genius.core.session.Session@55cd9605 failed: Failed to execute protocol: Execution failed of Agent17@69:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
0.181;57;;60rounds;Yes;No;5;0.47692;0.72037;0.18910;0.45089;3.00236;BoulwareNegotiationParty@74;Agent17@75;BoulwareNegotiationParty@76;BoulwareNegotiationParty@77;BoulwareNegotiationParty@78;0.7203700490883884;0.47692388371375605;0.571428025;0.6927251314964243;0.5409104085837233;0.7203700490883884;0.47692388371375605;0.571428025;0.6927251314964243;0.5409104085837233;0.6047726610860016;0.32998579305394166;0.571428025;0.6927251314964243;0.5409104085837233;0.0;0.0;0.0;0.0;0.0;0.7203700490883884;0.47692388371375605;0.571428025;0.6927251314964243;0.5409104085837233;party1_utility.xml;party2_utility.xml;party4_utility.xml;party3_utility.xml;party5_utility.xml
;2;Session genius.core.session.Session@5dcdf886 failed: Failed to execute protocol: Execution failed of Agent17@79:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@32097998 failed: Failed to execute protocol: Execution failed of Agent17@86:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@4d295db5 failed: Failed to execute protocol: Execution failed of Agent17@89:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@3fbbae0 failed: Failed to execute protocol: Execution failed of Agent17@96:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@de03131 failed: Failed to execute protocol: Execution failed of Agent17@99:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@76d77d2d failed: Failed to execute protocol: Execution failed of Agent17@107:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
;2;Session genius.core.session.Session@14d07f2d failed: Failed to execute protocol: Execution failed of Agent17@109:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;party1_utility;party2_utility;party4_utility;party3_utility;party5_utility
