sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Utility 1;Utility 2;Utility 3;Utility 4;Utility 5;Utility 6;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Disc. Util. 5;Disc. Util. 6;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Perceived. Util. 5;Perceived. Util. 6;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Bother 5;User Bother 6;User Util. 1;User Util. 2;User Util. 3;User Util. 4;User Util. 5;User Util. 6;Profile 1;Profile 2;Profile 3;Profile 4;Profile 5;Profile 6
0.396;54;;60rounds;Yes;No;6;0.55887;0.80266;0.00000;0.40308;4.06731;BoulwareNegotiationParty@24;BoulwareNegotiationParty@25;BoulwareNegotiationParty@26;BoulwareNegotiationParty@27;BoulwareNegotiationParty@28;BoulwareNegotiationParty@29;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.6959991385018532;0.6307840539743261;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.0;0.0;0.0;0.0;0.0;0.0;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml
;2;Session genius.core.session.Session@42bd786a failed: Failed to execute protocol: Execution failed of Agent17@30:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
0.390;54;;60rounds;Yes;No;6;0.55887;0.80266;0.00000;0.40308;4.06731;BoulwareNegotiationParty@36;Agent17@37;BoulwareNegotiationParty@38;BoulwareNegotiationParty@39;BoulwareNegotiationParty@40;BoulwareNegotiationParty@41;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.6959991385018532;0.6307840539743261;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;0.0;0.0;0.0;0.0;0.0;0.0;0.8026588265749908;0.7456659811435978;0.5588737342142063;0.6904756000000001;0.6781658839908449;0.5914678777343539;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml
;2;Session genius.core.session.Session@11cba3da failed: Failed to execute protocol: Execution failed of Agent17@42:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@223d562b failed: Failed to execute protocol: Execution failed of Agent17@50:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@4fb591d0 failed: Failed to execute protocol: Execution failed of Agent17@54:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@d9fe37f failed: Failed to execute protocol: Execution failed of Agent17@62:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@5ed25c10 failed: Failed to execute protocol: Execution failed of Agent17@66:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@ca229e1 failed: Failed to execute protocol: Execution failed of Agent17@75:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@4836046d failed: Failed to execute protocol: Execution failed of Agent17@78:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
