sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
0.070;52;;60rounds;Yes;No;3;0.42088;0.90943;0.03606;0.55258;2.01079;BoulwareNegotiationParty@144;ConcederNegotiationParty@145;Agent33@146;0.6804756946728912;0.4208836620511731;0.9094323418590871;0.6804756946728912;0.4208836620511731;0.9094323418590871;0.6299812643373854;0.3622798044563972;0.8571131640826627;0.0;0.0;0.0;0.6804756946728912;0.4208836620511731;0.9094323418590871;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.068;46;;60rounds;Yes;No;3;0.58078;0.80565;0.09615;0.34642;2.04918;ConcederNegotiationParty@147;BoulwareNegotiationParty@148;Agent33@149;0.5807762439808385;0.6627501381015419;0.8056548112410213;0.5807762439808385;0.6627501381015419;0.8056548112410213;0.46544308089438297;0.8135537383339783;0.5186019450627094;0.0;0.0;0.0;0.5807762439808385;0.6627501381015419;0.8056548112410213;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.059;41;;60rounds;Yes;No;3;0.61205;0.97620;0.00000;0.13213;2.30997;Agent33@150;BoulwareNegotiationParty@151;ConcederNegotiationParty@152;0.7217169207833432;0.9762027298439024;0.6120483655601859;0.7217169207833432;0.9762027298439024;0.6120483655601859;0.7917638333374589;0.9113014862325522;0.2571129984779533;0.0;0.0;0.0;0.7217169207833432;0.9762027298439024;0.6120483655601859;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.443;56;;60rounds;Yes;No;3;0.52579;0.83242;0.05826;0.40610;2.05631;Agent17@153;BoulwareNegotiationParty@154;ConcederNegotiationParty@155;0.832417151875965;0.5257938281248536;0.6980973820918055;0.832417151875965;0.5257938281248536;0.6980973820918055;0.315349703464232;0.5049195574377664;0.47457738966314267;0.0;0.0;0.0;0.832417151875965;0.5257938281248536;0.6980973820918055;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.081;47;;60rounds;Yes;No;3;0.66049;0.81484;0.00000;0.27395;2.24083;BoulwareNegotiationParty@156;Agent33@157;ConcederNegotiationParty@158;0.8148439066237729;0.6604904546244688;0.765490874793168;0.8148439066237729;0.6604904546244688;0.765490874793168;0.8614288797755234;0.4452155705231628;0.712733112365683;0.0;0.0;0.0;0.8148439066237729;0.6604904546244688;0.765490874793168;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.072;50;;60rounds;Yes;No;3;0.64401;0.80233;0.00000;0.29121;2.22346;ConcederNegotiationParty@159;Agent33@160;BoulwareNegotiationParty@161;0.802331666635073;0.644014303586445;0.7771110556078442;0.802331666635073;0.644014303586445;0.7771110556078442;0.7505656274869932;0.5010090165018642;0.7548811711491048;0.0;0.0;0.0;0.802331666635073;0.644014303586445;0.7771110556078442;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.072;49;;60rounds;Yes;No;3;0.57062;0.86738;0.04252;0.39827;2.13267;Agent33@162;ConcederNegotiationParty@163;BoulwareNegotiationParty@164;0.6946786896046586;0.5706168270789023;0.8673755769776831;0.6946786896046586;0.5706168270789023;0.8673755769776831;0.621596341569617;0.42423177860121986;0.8348945228699314;0.0;0.0;0.0;0.6946786896046586;0.5706168270789023;0.8673755769776831;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.505;59;;60rounds;Yes;No;3;0.48258;0.87853;0.00000;0.33208;2.07500;Agent17@165;ConcederNegotiationParty@166;BoulwareNegotiationParty@167;0.8785313997397455;0.7138864948013331;0.48258163539986826;0.8785313997397455;0.7138864948013331;0.48258163539986826;0.20757219031879448;0.5584932379720331;0.347829978237666;0.0;0.0;0.0;0.8785313997397455;0.7138864948013331;0.48258163539986826;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.334;46;;60rounds;Yes;No;3;0.68973;0.85221;0.00000;0.18081;2.39334;BoulwareNegotiationParty@168;Agent17@169;ConcederNegotiationParty@170;0.6897326042523931;0.8522103358337141;0.8513950573047655;0.6897326042523931;0.8522103358337141;0.8513950573047655;0.8137599377253698;0.3501467421975731;0.5332780950646451;0.0;0.0;0.0;0.6897326042523931;0.8522103358337141;0.8513950573047655;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.400;53;;60rounds;Yes;No;3;0.57882;0.82373;0.06602;0.26237;2.20782;ConcederNegotiationParty@171;Agent17@172;BoulwareNegotiationParty@173;0.5788242968127807;0.8052724168387563;0.8237251359876989;0.5788242968127807;0.8052724168387563;0.8237251359876989;0.5897014552353255;0.30399514163906055;0.6300101340176938;0.0;0.0;0.0;0.5788242968127807;0.8052724168387563;0.8237251359876989;party1_utility.xml;party2_utility.xml;party3_utility.xml
